TBX21,-4.286449377
TGFB1,-4.292325997
TGFB2,-3.734576025
THBS1,-3.607214477
TLR2,-4.233437132
TLR4,-4.267990497
TNF,-3.786142314
Tnfaip2,-3.639874241
TNFRSF17,-4.142327484
TNFRSF18,-4.233991821
TNFRSF4,-4.218646997
TNFRSF9,-4.57419988
Tnfsf4,-3.900247993
TOLLIP,-4.485876434
TPSAB1,-4.516953172
TRIO,-4.116221747
Tsc22d3,-3.806674607
TUBB,-4.476021724
USP9Y,3.208417443
VEGFA,-4.166366363
XPO5,-4.498780694
ZFP36,-4.234401513
ZNF205,-3.247467688
